song_id;song;track;writers;length;year;album
71;you_need_to_calm_down;14;joel_little;2:51;2019;lover
72;afterglow;15;taylor_swift;3:43;2019;lover
72;afterglow;15;louis_bell;3:43;2019;lover
72;afterglow;15;adam_king_feeney;3:43;2019;lover
73;me;16;taylor_swift;3:13;2019;lover
73;me;16;louis_bell;3:13;2019;lover
73;me;16;brendon_urie;3:13;2019;lover
74;it_s_nice_to_have_a_friend;17;taylor_swift;2:30;2019;lover
74;it_s_nice_to_have_a_friend;17;louis_bell;2:30;2019;lover
74;it_s_nice_to_have_a_friend;17;adam_king_feeney;2:30;2019;lover
75;daylight;18;taylor_swift;4:53;2019;lover
76;lavender_haze;1;taylor_swift;3:22;2022;midnights
76;lavender_haze;1;jack_antonoff;3:22;2022;midnights
76;lavender_haze;1;zoë_kravitz;3:22;2022;midnights
76;lavender_haze;1;mark_spears;3:22;2022;midnights
76;lavender_haze;1;jahaan_sweet;3:22;2022;midnights
76;lavender_haze;1;sam_dew;3:22;2022;midnights
77;maroon;2;taylor_swift;3:38;2022;midnights
77;maroon;2;jack_antonoff;3:38;2022;midnights
78;anti_hero;3;taylor_swift;3:20;2022;midnights
78;anti_hero;3;jack_antonoff;3:20;2022;midnights
79;snow_on_the_beach;4;taylor_swift;4:16;2022;midnights
79;snow_on_the_beach;4;jack_antonoff;4:16;2022;midnights
79;snow_on_the_beach;4;lana_del_rey;4:16;2022;midnights
80;you_re_on_your_own_kid;5;taylor_swift;3:14;2022;midnights
80;you_re_on_your_own_kid;5;jack_antonoff;3:14;2022;midnights
81;midnight_rain;6;taylor_swift;2:54;2022;midnights
81;midnight_rain;6;jack_antonoff;2:54;2022;midnights
82;question;7;taylor_swift;3:30;2022;midnights
82;question;7;jack_antonoff;3:30;2022;midnights
83;vigilante_shit;8;taylor_swift;2:44;2022;midnights
84;bejeweled;9;taylor_swift;3:14;2022;midnights
84;bejeweled;9;jack_antonoff;3:14;2022;midnights
85;labyrinth;10;taylor_swift;4:07;2022;midnights
85;labyrinth;10;jack_antonoff;4:07;2022;midnights
86;karma;11;taylor_swift;3:24;2022;midnights
86;karma;11;jack_antonoff;3:24;2022;midnights
86;karma;11;mark_spears;3:24;2022;midnights
86;karma;11;jahaan_sweet;3:24;2022;midnights
86;karma;11;keanu_torres;3:24;2022;midnights
87;sweet_nothing;12;taylor_swift;3:08;2022;midnights
87;sweet_nothing;12;william_bowery;3:08;2022;midnights
88;mastermind;13;taylor_swift;3:11;2022;midnights
88;mastermind;13;jack_antonoff;3:11;2022;midnights
89;state_of_grace;1;taylor_swift;4:55;2012;red
90;red;2;taylor_swift;3:43;2012;red
91;treacherous;3;taylor_swift;4:02;2012;red
91;treacherous;3;dan_wilson;4:02;2012;red
92;i_knew_you_were_trouble;4;taylor_swift;3:39;2012;red
